"Time"	"HeadX"	"HeadY"	"TailX"	"TailY"	"MidX"	"MidY"	"LeftFinProX"	"LeftFinProY"	"RightFinProX"	"RightFinProY"	"LeftFinDisX"	"LeftFinDisY"	"RightFinDisX"	"RightFinDisY"
"1"	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	18	89	408.666666666667	260.666666666667	20	116	336.833333333333	131.333333333333	343.666666666667	100.666666666667	330	148.666666666667	312.666666666667	112	303.333333333333
"3"	20	88.75	408.75	261.25	19	116.375	337.25	131.75	343.75	101	330.75	148.5	312.5	111.25	304.5
"4"	22	88.6	409	261	20.2	116.4	337.3	131.8	343.4	101	331.2	148.2	314	109.4	305.8
"5"	24	88.6	408.2	262.6	20.6	116.7	337.2	132.2	343.4	101.2	331	147.2	317	105.8	306.6
"6"	26	88.6	409	261	20.2	116.4	337.3	131.8	343.4	101	331.2	148.2	314	109.4	305.8
"7"	28	88.6	408.2	262.6	20.6	116.7	337.2	132.2	343.4	101.2	331	147.2	317	105.8	306.6
"8"	30	88.4	408.2	265.6	21.6	116.7	337.2	132.2	343.2	101.2	331.2	147.6	319.8	100.4	306.4
"9"	32	88.6	408.2	269	23.2	116.6	337.8	131.8	342.6	101.4	333	147.4	322	95.6	305.6
"10"	34	88.6	407.8	270.6	28	116.5	337.6	131.6	342.4	101.4	332.8	149	326.6	90.6	303.2
"11"	36	88.2	407.6	271.6	30.2	116.3	336.8	131.4	342.4	101.2	331.2	152.2	331.8	86.6	300.8
"12"	38	87.4	408	270	31.8	115.7	335.8	130.4	341.8	101	329.8	155.4	335.8	86.2	298.6
"13"	40	86.4	408.4	265.6	32	115.7	335.1	130.6	341.8	100.8	328.4	158.2	340.8	89.6	296.2
"14"	42	84.8	409.4	256.4	30.6	115.1	334.2	129.8	341.6	100.4	326.8	161	346.8	94.2	294.6
"15"	44	83.8	410.2	245	26.6	114.1	333.9	128.8	340.4	99.4	327.4	161.8	351.6	98.8	294.2
"16"	46	83.8	410	233.4	22.8	113.8	334.9	128.8	340.2	98.8	329.6	160.2	352.4	103.2	295.2
"17"	48	83.2	411	219.4	21.2	113.3	336	128.4	340.4	98.2	331.6	160	348	104.2	298.2
"18"	50	83	412	207.2	22.6	112.8	337.1	128.2	340.6	97.4	333.6	159	342.8	102.4	302.4
"19"	52	83.2	412.6	201.2	25.4	112.4	338.8	128.8	341.6	96	336	158.2	337.6	99.6	306.4
"20"	54	83	414.2	203.4	28.2	112.4	339.9	129.2	343.6	95.6	336.2	157.2	329.6	94.4	310.4
"21"	56	82	416.6	212.2	33.2	112.3	341.1	129	345.2	95.6	337	156.2	322.8	88.8	312.6
"22"	58	82	418.2	225.2	38	111.9	342.4	128.8	346.6	95	338.2	154	321.8	82.2	312.4
"23"	60	82	419.8	243.2	40.4	111.7	344	127.6	349	95.8	339	152.4	320	76.6	313.4
"24"	62	82.2	421.4	262.2	44.6	111.8	345.7	127	351.2	96.6	340.2	150.4	318.4	71.2	313.8
"25"	64	82	422.6	280.2	50	112	347.4	126.4	353.6	97.6	341.2	149.4	321.4	70.2	314.6
"26"	66	81.6	423.8	290.4	57.8	111.4	348.4	125.4	355.4	97.4	341.4	147.8	326.2	72	315.4
"27"	68	81	424.8	297.2	65.4	111.2	349.7	124.8	357.6	97.6	341.8	146.6	331.4	76.8	317.4
"28"	70	79.8	426.6	296.8	70.6	110.7	350.8	124.8	358.8	96.6	342.8	146.2	337.4	83.6	316.2
"29"	72	78.4	428	291.8	70.8	109.9	351.4	123.8	360	96	342.8	146.2	344.6	91.2	314.8
"30"	74	76.2	429.4	279.4	67.4	108.2	352.7	122.8	359.8	93.6	345.6	147.2	350.4	96.2	314
"31"	76	74.8	430.8	266	57	106.8	355.1	121.8	361.4	91.8	348.8	151.2	356.8	99.4	313
"32"	78	72.8	432.4	251	45.4	105.3	356.4	120.6	361.6	90	351.2	153.2	362.8	102.2	312.4
"33"	80	71.4	433.4	232.4	37.4	103.7	357.8	119.4	362	88	353.6	154.2	367.6	102.4	314.6
"34"	82	70.2	434.6	215.6	34	102.6	359.4	118.8	362.8	86.4	356	155.2	370.8	100.4	318
